	obs_mz	obs_rt	level2_gnps	level_1_identification	pvalue	test_statistic
101.05975348049212_0.3589120772946859	101.0597535	21.53472464	Spectral Match to 5-Aminovaleric acid from NIST14	none	1.00E-04	-31.93792271
104.1070008277893_0.3359217147435899	104.1070008	20.15530288	none	none	1.00E-04	-33.69637681
116.10703063008252_0.35081827697262474	116.1070306	21.04909662	none	none	1.00E-04	-67.26086957
124.03947753172655_0.40197972756410266	124.0394775	24.11878365	Spectral Match to 4-Pyridinecarboxylic acid from NIST14	none	0.00059994	-25.7173913
127.11193970786358_2.2183315673289177	127.1119397	133.099894	none	none	0.00029997	-28.57487923
134.06027331837447_2.193103445512821	134.0602733	131.5862067	INDOXYL SULFATE	none	0.00169983	-24.57439614
142.0352257493744_0.37642669902912623	142.0352257	22.58560194	none	none	0.00169983	-25.18985507
142.04782038928172_0.3143887540453073	142.0478204	18.86332524	none	none	0.00179982	25.7173913
157.12218809150744_3.1641480769230776	157.1221881	189.8488846	Spectral Match to 4-Hydroxynonenal from NIST14	none	1.00E-04	-43.29094203
162.07597780081917_0.3738025641025642	162.0759778	22.42815385	none	none	1.00E-04	-38.55410628
173.0422843168077_0.3373528044871795	173.0422843	20.24116827	none	none	0.00079992	26.48671498
173.11673643304124_1.6408768656716413	173.1167364	98.45261194	Gly-Leu-Arg	none	0.00019998	-28.79468599
175.11943177752002_0.34367347756410255	175.1194318	20.62040865	Spectral Match to L-Arginine from NIST14	none	1.00E-04	50.20386473
188.1760033257442_0.35512463768115937	188.1760033	21.30747826	none	none	1.00E-04	-55.97379227
189.12362367871648_0.44619102564102586	189.1236237	26.77146154	Spectral Match to Gly-Leu from NIST14	none	0.00059994	-27.19009662
190.05013000866265_2.7417234477124186	190.05013	164.5034069	none	none	0.00069993	-24.8821256
190.05027355330495_1.4352737274220033	190.0502736	86.11642365	none	none	0.00049995	-27.47584541
193.05010071237592_2.467558928571428	193.0501007	148.0535357	Spectral Match to 6-Hydroxy-7-methoxycoumarin from NIST14	none	1.00E-04	34.5865942
193.12257509066396_2.1418344618055545	193.1225751	128.5100677	none	none	1.00E-04	37.31219807
197.15359734997466_4.123346703296701	197.1535973	247.4008022	none	none	1.00E-04	-45.11533816
199.16849488131095_4.412634699453553	199.1684949	264.758082	none	none	1.00E-04	-41.14782609
201.03852392094086_0.33375996275605224	201.0385239	20.02559777	none	none	1.00E-04	-84.55966184
210.63434515962103_1.6921389694041864	210.6343452	101.5283382	none	none	0.00029997	-28.66280193
211.13237077696647_2.3806129629629615	211.1323708	142.8367778	Spectral Match to Jasmonic acid from NIST14	none	1.00E-04	-53.06135266
211.16927878692331_3.118808167770418	211.1692788	187.1284901	none	none	1.00E-04	-53.34710145
213.18501647611558_5.461962640901772	213.1850165	327.7177585	"4-(3-hydroxybutyl)-3,5,5-trimethylcyclohex-3-en-1-ol"	none	1.00E-04	-36.64178744
215.65508735156936_1.7339828455284554	215.6550874	104.0389707	none	none	0.00189981	-24.8821256
217.0682568713685_0.3526659455128203	217.0682569	21.15995673	none	none	1.00E-04	29.82777778
217.15476846694946_0.5399277243589738	217.1547685	32.39566346	Spectral Match to Val-Val from NIST14	none	0.0009999	-25.01400966
219.02646554715463_0.3274616987179487	219.0264655	19.64770192	none	none	1.00E-04	-40.4884058
219.13398735052348_0.6073681089743592	219.1339874	36.44208654	Spectral Match to Ser-Leu from NIST14	none	0.00019998	-27.89347826
226.14386767589158_2.3531765070921993	226.1438677	141.1905904	none	none	1.00E-04	-47.23647343
227.16398366492297_4.20509921875	227.1639837	252.3059531	none	none	1.00E-04	-38.62004831
230.18597802873788_0.3993606666666668	230.185978	23.96164	none	none	1.00E-04	-66.64541063
231.17033846826163_0.9584503205128206	231.1703385	57.50701923	Spectral Match to Val-Ile from NIST14	none	0.00069993	-26.04710145
234.13333925142635_1.6300573717948705	234.1333393	97.80344231	none	none	1.00E-04	-41.54347826
235.0403034248726_0.3430181481481481	235.0403034	20.58108889	none	none	0.00129987	-22.39830918
237.22108735953935_5.213346359223301	237.2210874	312.8007816	Spectral Match to cis-9-Hexadecenoic acid from NIST14	none	1.00E-04	-36.96050725
238.1440088822056_2.6964621212121216	238.1440089	161.7877273	none	none	0.00219978	-20.16727053
244.15410585586176_1.5791644278606964	244.1541059	94.74986567	none	none	1.00E-04	-57.88611111
244.6372315666831_4.367860789049919	244.6372316	262.0716473	none	none	1.00E-04	31.89396135
245.11654524971667_3.9405489700374545	245.1165452	236.4329382	none	none	0.00079992	-25.89323671
245.1610463541525_1.8190971296296294	245.1610464	109.1458278	none	none	1.00E-04	-42.87330918
245.81355820027682_2.092751666666666	245.8135582	125.5651	none	none	1.00E-04	-25.6294686
247.24155508773188_5.461530756843801	247.2415551	327.6918454	none	none	1.00E-04	-38.75193237
248.14822446588389_4.7297582532051266	248.1482245	283.7854952	none	none	1.00E-04	56.05072464
248.15132078353793_2.2194515653775317	248.1513208	133.1670939	none	none	1.00E-04	29.32222222
253.64264731251157_3.8502951923076933	253.6426473	231.0177115	none	none	0.00039996	-29.23429952
255.23146533636984_5.2126189210950065	255.2314653	312.7571353	11Z-hexadecenoic acid	none	1.00E-04	-38.33429952
260.0525757044779_0.33578309294871783	260.0525757	20.14698558	none	none	1.00E-04	-42.90628019
