#featureID	pvalue	level2_gnps	test_statistic	obs_mz	obs_rt	level_1_identification	trend
355.2629055490768_3.7938971153846124	1.00E-04	Spectral Match to Cholic acid from NIST14	-56.24855072	355.2629055	3.793897115	a-Muricholic acid	higher in Air
373.27348615624044_3.8406199677938813	1.00E-04	Spectral Match to Cholic acid from NIST14	-45.74178744	373.2734862	3.840619968	a-Muricholic acid	higher in Air
391.28410117004233_3.8488245192307704	1.00E-04	Spectral Match to 12-Ketodeoxycholic acid from NIST14	-37.12536232	391.2841012	3.848824519	a-Muricholic acid	higher in Air
817.5817207148909_3.8418794166666657	1.00E-04	Spectral Match to Cholic acid from NIST14	-35.31195652	817.5817207	3.841879417	a-Muricholic acid	higher in Air
785.5902260763991_4.755478546099291	1.00E-04	Spectral Match to Deoxycholic acid from NIST14	51.10507246	785.5902261	4.755478546	Chenodeoxycholic acid	higher in IHH
375.2881148445714_4.7519132211538455	1.00E-04	Spectral Match to Ursodeoxycholic acid from NIST14	52.29202899	375.2881148	4.751913221	Chenodeoxycholic acid	higher in IHH
357.2784642647587_4.740846153846155	1.00E-04	Spectral Match to 3.beta.-Hydroxy-5-cholenoic acid from NIST14	56.82004831	357.2784643	4.740846154	Chenodeoxycholic acid	higher in IHH
339.2681037729704_4.738620238095239	1.00E-04	none	61.77669082	339.2681038	4.738620238	Chenodeoxycholic acid	higher in IHH
373.27350038542585_4.124289342948718	0.00069993	Spectral Match to Cholic acid from NIST14	25.84927536	373.2735004	4.124289343	Cholic acid	higher in IHH
355.2629006371635_4.131933012820513	0.00019998	Spectral Match to Cholic acid from NIST14	26.37681159	355.2629006	4.131933013	Cholic acid	higher in IHH
391.2840865306042_4.331681730769233	1.00E-04	Spectral Match to 12-Ketodeoxycholic acid from NIST14	36.4	391.2840865	4.331681731	Cholic acid	higher in IHH
355.2629143700245_4.354349038461536	1.00E-04	Spectral Match to Cholic acid from NIST14	37.52101449	355.2629144	4.354349038	Cholic acid	higher in IHH
373.27348764725264_4.338406810897439	1.00E-04	Spectral Match to Cholic acid from NIST14	39.21352657	373.2734876	4.338406811	Cholic acid	higher in IHH
817.5817957480525_4.338310569105691	1.00E-04	Spectral Match to Cholic acid from NIST14	43.58768116	817.5817957	4.338310569	Cholic acid	higher in IHH
391.2841105382007_4.130280368589744	1.00E-04	Spectral Match to 12-Ketodeoxycholic acid from NIST14	48.70917874	391.2841105	4.130280369	Cholic acid	higher in IHH
817.5818611613716_4.130555448717949	1.00E-04	Spectral Match to Cholic acid from NIST14	50.35772947	817.5818612	4.130555449	Cholic acid	higher in IHH
785.5917246353223_5.009369484702093	1.00E-04	Spectral Match to Deoxycholic acid from NIST14	39.19154589	785.5917246	5.009369485	Deoxycholic acid	higher in IHH
375.2884788491843_5.009893639291467	1.00E-04	Spectral Match to Ursodeoxycholic acid from NIST14	40.22463768	375.2884788	5.009893639	Deoxycholic acid	higher in IHH
339.268128220786_5.009364251207728	1.00E-04	none	41.80724638	339.2681282	5.009364251	Deoxycholic acid	higher in IHH
357.2784138555112_5.010000161030595	1.00E-04	Spectral Match to 3.beta.-Hydroxy-5-cholenoic acid from NIST14	43.49975845	357.2784139	5.010000161	Deoxycholic acid	higher in IHH
285.1479281026352_3.2348193910256406	0.00029997	Spectral Match to Enterodiol from NIST14	30.57512077	285.1479281	3.234819391	Enterodiol	higher in IHH
299.12717053502917_3.77541909385113	1.00E-04	Spectral Match to Enterolactone from NIST14	60.77657005	299.1271705	3.775419094	Enterolactone	higher in IHH
357.27789601970994_4.411550985221675	0.00169983	Spectral Match to 3.beta.-Hydroxy-5-cholenoic acid from NIST14	24.20072464	357.277896	4.411550985	Hyodeoxycholic acid	higher in IHH
341.28327251080486_5.417118203883496	1.00E-04	none	37.01545894	341.2832725	5.417118204	Lithocholic acid	higher in IHH
359.2929025956458_5.417774879227055	1.00E-04	Lithocholic acid	38.92777778	359.2929026	5.417774879	Lithocholic acid	higher in IHH
480.2783022355117_3.0232786991869927	1.00E-04	none	31.03671498	480.2783022	3.023278699	Tauro-b-muricholic acid	higher in IHH
498.2882827904067_3.503280892255893	0.00039996	none	29.10241546	498.2882828	3.503280892	Taurocholic acid	higher in IHH
480.27763965743867_3.5192286858974375	0.00049995	none	29.12439614	480.2776397	3.519228686	Taurocholic acid	higher in IHH
464.2825194019401_3.911678431372549	1.00E-04	none	30.2673913	464.2825194	3.911678431	Taurodeoxycholic acid	higher in IHH
482.29143548395945_3.907954655493486	1.00E-04	none	31.22355072	482.2914355	3.907954655	Taurodeoxycholic acid	higher in IHH
482.29186826667524_3.770169765494136	1.00E-04	none	51.37983092	482.2918683	3.770169765	Taurodeoxycholic acid	higher in IHH
464.2829014176653_3.757069696969693	1.00E-04	none	58.11690821	464.2829014	3.757069697	Taurodeoxycholic acid	higher in IHH
375.28808768087396_4.528944230769232	0.00219978	Spectral Match to Ursodeoxycholic acid from NIST14	23.45338164	375.2880877	4.528944231	Ursodeoxycholic acid	higher in IHH
